Rodovia,Acidentes,Graves,Feridos,Leves,Latitude,Longitude
RJ 101,8626,807,7077,742,-22.72935968,-42.70112512
GO 153,3983,428,3050,505,-16.229185,-49.009797
ES 101,7239,1013,5833,390,-20.17292791,-40.26736384
SC 101,17509,1115,14759,1635,-26.83477,-48.706151
RS 116,6778,800,5155,823,-29.66938502,-51.14304731
PR 277,14672,2385,10621,1666,-25.54112281,-49.06183391
MS 262,2392,255,1820,317,-20.782074,-51.65705
RO 364,10973,1654,8422,897,-11.68196118,-61.18621945
PR 376,10050,1413,7734,903,-23.882753,-51.246884
PR 369,4596,598,3629,369,-23.563611,-51.493503
GO 60,4974,585,3826,563,-16.3846,-48.9541
MG 381,15128,2267,11951,910,-19.95576216,-44.11231756
PI 316,3372,850,2208,314,-5.12826443,-42.79292384
PI 343,3934,486,3052,396,-4.29603281,-41.76732659
RS 386,4428,591,3451,386,-29.575304,-51.846645
BA 116,5336,1246,3555,535,-13.07158302,-39.9611107
SC 280,2801,488,2120,193,-26.29625399,-48.64238799
PE 101,5442,406,4452,584,-8.069596,-34.943065
PR 116,7576,644,6081,851,-25.14802509,-48.85922071
DF 20,2095,9,1585,501,-15.59834,-47.676186
MG 365,3616,900,2492,224,-18.93190015,-48.19744527
PR 373,2068,442,1482,144,-25.24741013,-51.05082693
MG 262,4821,706,3699,416,-19.95652262,-44.3648278
MG 40,9455,1469,7288,698,-17.96104772,-45.65928593
TO 153,4695,1003,3126,566,-7.20503614,-48.24035166
SC 116,2213,784,1200,229,-26.43345701,-50.22890485
MT 364,4307,982,2788,537,-16.17914141,-54.78905337
PB 230,6535,620,5218,697,-7.1121,-34.8426
MG 251,4344,1754,2471,119,-16.43408996,-43.27992195
SP 116,16093,1374,13441,1278,-23.27617003,-45.97592098
SC 282,7864,1433,5827,604,-27.692406,-49.075939
MT 163,6566,973,4809,784,-14.35486956,-56.15112305
RN 101,2077,68,1800,209,-6.18022401,-35.21699006
RJ 116,5472,282,4623,567,-22.66978425,-43.27286493
RS 392,2175,472,1461,242,-29.804948,-53.776067
RS 285,2628,538,1820,270,-28.635736,-50.54628
BA 324,3946,490,3088,368,-12.250494,-38.933343
CE 116,4118,775,2953,390,-3.94905489,-38.51212845
RS 290,3814,680,2635,499,-30.105392,-51.717197
BA 101,4066,994,2766,306,-14.227651,-39.319407
SP 381,2461,107,1928,426,-23.12997498,-46.5767598
RJ 40,3246,267,2723,256,-22.43082088,-43.16858622
SC 470,4670,632,3732,306,-26.867121,-49.102066
PA 316,2322,691,1407,224,-1.32568297,-47.656705
MS 163,7798,1689,5328,781,-19.89996489,-54.37326248
MG 116,8584,3128,5184,272,-18.01809416,-41.63418999
BA 242,4172,846,2892,434,-12.46767097,-41.43877801
MA 135,2381,567,1558,256,-3.10577998,-44.32276839
PE 232,4908,731,3488,689,-8.32744699,-36.15405
PR 476,2840,437,2023,380,-25.285248,-49.14677
GO 40,2462,331,1879,252,-16.093134,-47.982236
MT 70,2949,194,2329,426,-15.55739918,-54.27981896
MG 50,2397,167,2027,203,-19.017713,-48.20603
PA 230,3078,1146,1526,406,-5.35569904,-49.09047302
PA 163,3521,1766,1595,160,-4.50624587,-55.86575279
