Rodovia,Acidentes,Graves,Feridos,Leves,Latitude,Longitude
RJ 101,8626,807,7077,742,-22.72935968,-42.70112512
ES 101,7239,1013,5833,390,-20.17292791,-40.26736384
SC 101,17509,1115,14759,1635,-26.83477,-48.706151
RS 116,6778,800,5155,823,-29.66938502,-51.14304731
PR 277,14672,2385,10621,1666,-25.54112281,-49.06183391
RO 364,10973,1654,8422,897,-11.68196118,-61.18621945
PR 376,10050,1413,7734,903,-23.882753,-51.246884
MG 381,15128,2267,11951,910,-19.95576216,-44.11231756
PR 116,7576,644,6081,851,-25.14802509,-48.85922071
MG 40,9455,1469,7288,698,-17.96104772,-45.65928593
PB 230,6535,620,5218,697,-7.1121,-34.8426
SP 116,16093,1374,13441,1278,-23.27617003,-45.97592098
SC 282,7864,1433,5827,604,-27.692406,-49.075939
MT 163,6566,973,4809,784,-14.35486956,-56.15112305
MS 163,7798,1689,5328,781,-19.89996489,-54.37326248
MG 116,8584,3128,5184,272,-18.01809416,-41.63418999
