Source,Target,Weight
1,2,8626
1,3,807
1,4,7077
1,5,742
6,7,3983
6,8,428
6,9,3050
6,10,505
11,12,7239
11,13,1013
11,14,5833
11,15,390
16,17,17509
16,18,1115
16,19,14759
16,20,1635
21,22,6778
21,23,800
21,24,5155
21,25,823
26,27,14672
26,28,2385
26,29,10621
26,30,1666
31,32,1326
31,33,152
31,34,1005
31,35,169
36,37,2392
36,38,255
36,39,1820
36,40,317
41,42,10973
41,43,1654
41,44,8422
41,45,897
46,47,1717
46,48,52
46,49,1597
46,50,68
51,52,10050
51,53,1413
51,54,7734
51,55,903
56,57,4596
56,58,598
56,59,3629
56,60,369
61,62,1522
61,63,184
61,64,1177
61,65,161
66,67,4974
66,68,585
66,69,3826
66,70,563
71,72,15128
71,73,2267
71,74,11951
71,75,910
76,77,1247
76,78,60
76,79,1028
76,80,159
81,82,1357
81,83,206
81,84,925
81,85,226
86,87,293
86,88,80
86,89,146
86,90,67
91,92,3372
91,93,850
91,94,2208
91,95,314
96,97,3934
96,98,486
96,99,3052
96,100,396
101,102,4428
101,103,591
101,104,3451
101,105,386
106,107,5336
106,108,1246
106,109,3555
106,110,535
111,112,901
111,113,28
111,114,806
111,115,67
116,117,2801
116,118,488
116,119,2120
116,120,193
121,122,5442
121,123,406
121,124,4452
121,125,584
126,127,880
126,128,163
126,129,633
126,130,84
131,132,7576
131,133,644
131,134,6081
131,135,851
136,137,1150
136,138,123
136,139,840
136,140,187
141,142,928
141,143,69
141,144,785
141,145,74
146,147,2095
146,148,9
146,149,1585
146,150,501
151,152,3616
151,153,900
151,154,2492
151,155,224
156,157,1024
156,158,103
156,159,887
156,160,34
161,162,2068
161,163,442
161,164,1482
161,165,144
166,167,4821
166,168,706
166,169,3699
166,170,416
171,172,1914
171,173,151
171,174,1423
171,175,340
176,177,9455
176,178,1469
176,179,7288
176,180,698
181,182,4695
181,183,1003
181,184,3126
181,185,566
186,187,2213
186,188,784
186,189,1200
186,190,229
191,192,4307
191,193,982
191,194,2788
191,195,537
196,197,242
196,198,12
196,199,211
196,200,19
201,202,6535
201,203,620
201,204,5218
201,205,697
206,207,74
206,208,25
206,209,30
206,210,19
211,212,4344
211,213,1754
211,214,2471
211,215,119
216,217,660
216,218,92
216,219,490
216,220,78
221,222,16093
221,223,1374
221,224,13441
221,225,1278
226,227,7864
226,228,1433
226,229,5827
226,230,604
231,232,6566
231,233,973
231,234,4809
231,235,784
236,237,68
236,238,2
236,239,66
240,241,621
240,242,107
240,243,445
240,244,69
245,246,2077
245,247,68
245,248,1800
245,249,209
250,251,646
250,252,75
250,253,539
250,254,32
255,256,5472
255,257,282
255,258,4623
255,259,567
260,261,2175
260,262,472
260,263,1461
260,264,242
265,266,2628
265,267,538
265,268,1820
265,269,270
270,271,3946
270,272,490
270,273,3088
270,274,368
275,276,4118
275,277,775
275,278,2953
275,279,390
280,281,3814
280,282,680
280,283,2635
280,284,499
285,286,751
285,287,75
285,288,589
285,289,87
290,291,1259
290,292,69
290,293,1044
290,294,146
295,296,4066
295,297,994
295,298,2766
295,299,306
300,301,1528
300,302,290
300,303,1050
300,304,188
305,306,1047
305,307,426
305,308,498
305,309,123
310,311,2461
310,312,107
310,313,1928
310,314,426
315,316,154
315,317,24
315,318,128
315,319,2
320,321,3246
320,322,267
320,323,2723
320,324,256
325,326,4670
325,327,632
325,328,3732
325,329,306
330,331,278
330,332,201
330,333,77
334,335,2322
334,336,691
334,337,1407
334,338,224
339,340,1930
339,341,274
339,342,1405
339,343,251
344,345,7798
344,346,1689
344,347,5328
344,348,781
349,350,8584
349,351,3128
349,352,5184
349,353,272
354,355,834
354,356,290
354,357,500
354,358,44
359,360,1483
359,361,176
359,362,1192
359,363,115
364,365,1287
364,366,354
364,367,637
364,368,296
369,370,1191
369,371,126
369,372,957
369,373,108
374,375,1001
374,376,229
374,377,634
374,378,138
379,380,137
379,381,9
379,382,124
379,383,4
384,385,4172
384,386,846
384,387,2892
384,388,434
389,390,2381
389,391,567
389,392,1558
389,393,256
394,395,652
394,396,67
394,397,529
394,398,56
399,400,41
399,401,41
402,403,411
402,404,40
402,405,328
402,406,43
407,408,1015
407,409,238
407,410,660
407,411,117
412,413,540
412,414,7
412,415,461
412,416,72
417,418,967
417,419,253
417,420,604
417,421,110
422,423,100
422,424,56
422,425,44
426,427,1813
426,428,77
426,429,1503
426,430,233
431,432,544
431,433,142
431,434,332
431,435,70
436,437,4908
436,438,731
436,439,3488
436,440,689
441,442,971
441,443,166
441,444,637
441,445,168
446,447,1404
446,448,12
446,449,1258
446,450,134
451,452,2840
451,453,437
451,454,2023
451,455,380
456,457,2462
456,458,331
456,459,1879
456,460,252
461,462,1437
461,463,302
461,464,1019
461,465,116
466,467,2949
466,468,194
466,469,2329
466,470,426
471,472,683
471,473,255
471,474,404
471,475,24
476,477,833
476,478,45
476,479,716
476,480,72
481,482,1709
481,483,249
481,484,1277
481,485,183
486,487,1136
486,488,235
486,489,742
486,490,159
491,492,682
491,493,213
491,494,408
491,495,61
496,497,579
496,498,148
496,499,359
496,500,72
501,502,2397
501,503,167
501,504,2027
501,505,203
506,507,527
506,508,63
506,509,420
506,510,44
511,512,922
511,513,109
511,514,668
511,515,145
516,517,351
516,518,15
516,519,209
516,520,127
521,522,1600
521,523,509
521,524,945
521,525,146
526,527,1406
526,528,353
526,529,970
526,530,83
531,532,864
531,533,282
531,534,538
531,535,44
536,537,1702
536,538,298
536,539,1279
536,540,125
541,542,1900
541,543,207
541,544,1541
541,545,152
546,547,994
546,548,73
546,549,810
546,550,111
551,552,101
551,553,45
551,554,56
555,556,695
555,557,162
555,558,363
555,559,170
560,561,32
560,562,12
560,563,20
564,565,775
564,566,328
564,567,396
564,568,51
569,570,546
569,571,39
569,572,456
569,573,51
574,575,961
574,576,91
574,577,745
574,578,125
579,580,259
579,581,106
579,582,148
579,583,5
584,585,349
584,586,58
584,587,279
584,588,12
589,590,549
589,591,219
589,592,279
589,593,51
594,595,139
594,596,128
594,597,11
598,599,1617
598,600,49
598,601,1511
598,602,57
603,604,1031
603,605,835
603,606,174
603,607,22
608,609,580
608,610,270
608,611,253
608,612,57
613,614,3078
613,615,1146
613,616,1526
613,617,406
618,619,1053
618,620,285
618,621,708
618,622,60
623,624,119
623,625,46
623,626,66
623,627,7
628,629,271
628,630,32
628,631,228
628,632,11
633,634,455
633,635,30
633,636,402
633,637,23
638,639,553
638,640,326
638,641,216
638,642,11
643,644,218
643,645,13
643,646,179
643,647,26
648,649,3521
648,650,1766
648,651,1595
648,652,160
653,654,633
653,655,92
653,656,492
653,657,49
658,659,110
658,660,24
658,661,80
658,662,6
663,664,1365
663,665,313
663,666,892
663,667,160
668,669,413
668,670,45
668,671,316
668,672,52
673,674,790
673,675,61
673,676,650
673,677,79
678,679,363
678,680,106
678,681,225
678,682,32
683,684,59
683,685,24
683,686,35
687,688,35
687,689,17
687,690,18
691,692,455
691,693,22
691,694,376
691,695,57
696,697,462
696,698,107
696,699,313
696,700,42
701,702,924
701,703,261
701,704,566
701,705,97
706,707,276
706,708,35
706,709,236
706,710,5
711,712,505
711,713,182
711,714,295
711,715,28
716,717,295
716,718,24
716,719,250
716,720,21
721,722,81
721,723,36
721,724,37
721,725,8
726,727,174
726,728,72
726,729,86
726,730,16
731,732,320
731,733,70
731,734,234
731,735,16
736,737,694
736,738,142
736,739,460
736,740,92
741,742,920
741,743,272
741,744,570
741,745,78
746,747,485
746,748,5
746,749,393
746,750,87
751,752,128
751,753,122
751,754,6
755,756,98
755,757,92
755,758,6
759,760,610
759,761,22
759,762,551
759,763,37
764,765,631
764,766,136
764,767,422
764,768,73
769,770,137
769,771,5
769,772,132
773,774,937
773,775,391
773,776,466
773,777,80
778,779,194
778,780,73
778,781,117
778,782,4
783,784,412
783,785,169
783,786,238
783,787,5
788,789,99
788,790,10
788,791,89
792,793,597
792,794,196
792,795,360
792,796,41
797,798,374
797,799,63
797,800,219
797,801,92
802,803,271
802,804,33
802,805,214
802,806,24
807,808,460
807,809,25
807,810,407
807,811,28
812,813,286
812,814,85
812,815,189
812,816,12
817,818,84
817,819,64
817,820,20
821,822,1123
821,823,232
821,824,824
821,825,67
826,827,195
826,828,95
826,829,64
826,830,36
831,832,49
831,833,42
831,834,7
835,836,144
835,837,34
835,838,110
839,840,178
839,841,68
839,842,105
839,843,5
844,845,152
844,846,27
844,847,103
844,848,22
849,850,259
849,851,118
849,852,106
849,853,35
854,855,148
854,856,40
854,857,107
854,858,1
859,860,749
859,861,140
859,862,567
859,863,42
864,865,549
864,866,105
864,867,426
864,868,18
869,870,64
869,871,56
869,872,8
873,874,295
873,875,84
873,876,166
873,877,45
878,879,313
878,880,104
878,881,171
878,882,38
883,884,315
883,885,96
883,886,196
883,887,23
888,889,151
888,890,4
888,891,143
888,892,4
893,894,41
893,895,2
893,896,39
897,898,1103
897,899,246
897,900,828
897,901,29
902,903,217
902,904,204
902,905,13
906,907,677
906,908,47
906,909,597
906,910,33
911,912,178
911,913,103
911,914,69
911,915,6
916,917,109
916,918,9
916,919,93
916,920,7
921,922,296
921,923,284
921,924,12
925,926,810
925,927,112
925,928,594
925,929,104
930,931,87
930,932,87
933,934,16
933,935,16
936,937,3
936,938,3
939,940,32
939,941,32
942,943,255
942,944,40
942,945,200
942,946,15
947,948,22
947,949,22
950,951,210
950,952,40
950,953,135
950,954,35
955,956,406
955,957,166
955,958,219
955,959,21
960,961,59
960,962,54
960,963,5
964,965,2
964,966,2
967,968,44
967,969,24
967,970,20
971,972,32
971,973,8
971,974,24
975,976,40
975,977,6
975,978,34
979,980,157
979,981,153
979,982,4
983,984,34
983,985,32
983,986,2
987,988,255
987,989,91
987,990,164
991,992,29
991,993,29
994,995,124
994,996,17
994,997,104
994,998,3
999,1000,40
999,1001,15
999,1002,25
1003,1004,153
1003,1005,30
1003,1006,123
1007,1008,84
1007,1009,72
1007,1010,12
1011,1012,317
1011,1013,78
1011,1014,233
1011,1015,6
1016,1017,15
1016,1018,3
1016,1019,12
1020,1021,38
1020,1022,36
1020,1023,2
1024,1025,30
1024,1026,3
1024,1027,27
1028,1029,29
1028,1030,24
1028,1031,5
1032,1033,12
1032,1034,12
1035,1036,15
1035,1037,9
1035,1038,6
1039,1040,109
1039,1041,87
1039,1042,22
1043,1044,87
1043,1045,14
1043,1046,61
1043,1047,12
1048,1049,37
1048,1050,21
1048,1051,16
1052,1053,95
1052,1054,30
1052,1055,64
1052,1056,1
1057,1058,40
1057,1059,36
1057,1060,4
1061,1062,20
1061,1063,20
1064,1065,87
1064,1066,36
1064,1067,47
1064,1068,4
1069,1070,51
1069,1071,33
1069,1072,16
1069,1073,2
1074,1075,47
1074,1076,44
1074,1077,3
1078,1079,935
1078,1080,174
1078,1081,756
1078,1082,5
1083,1084,36
1083,1085,24
1083,1086,12
1087,1088,74
1087,1089,74
1090,1091,9
1090,1092,9
1093,1094,6
1093,1095,6
1096,1097,181
1096,1098,10
1096,1099,147
1096,1100,24
1101,1102,12
1101,1103,2
1101,1104,10
1105,1106,13
1105,1107,13
1108,1109,1
1108,1110,1
1111,1112,8
1111,1113,8
1114,1115,10
1114,1116,10
1117,1118,37
1117,1119,24
1117,1120,13
1121,1122,155
1121,1123,8
1121,1124,134
1121,1125,13
1126,1127,18
1126,1128,16
1126,1129,2
1130,1131,6
1130,1132,6
1133,1134,2
1133,1135,2
1136,1137,14
1136,1138,2
1136,1139,12
1140,1141,32
1140,1142,30
1140,1143,2
1144,1145,3
1144,1146,3
1147,1148,14
1147,1149,12
1147,1150,2
1151,1152,10
1151,1153,10
1154,1155,2
1154,1156,2
1157,1158,2
1157,1159,2
1160,1161,4
1160,1162,4
1163,1164,8
1163,1165,8
1166,1167,6
1166,1168,6
