Source,Target,Weight
1,2,7932.5
1,3,7049.0
4,5,4339.0
4,6,2941.5
2,1,7932.5
2,7,5652.5
8,9,9065.0
8,10,8754.5
11,3,6125.0
11,12,4495.5
13,14,11124.0
13,15,7796.0
16,17,1163.5
16,18,935.0
19,15,1656.0
19,20,1233.0
21,22,6082.0
21,23,7640.0
24,25,8905.0
24,26,858.5
27,13,12361.0
27,28,5025.0
29,27,7323.0
29,30,2298.0
31,32,3171.5
31,33,761.0
34,35,3110.5
34,36,3116.5
37,38,8794.5
37,39,7564.0
35,34,3110.5
35,40,928.5
41,42,906.0
41,43,1246.5
44,36,776.0
44,45,276.0
46,47,3653.0
46,48,2148.0
47,46,3653.0
47,49,1967.0
50,51,3528.0
50,52,4121.0
53,7,4701.0
53,54,6960.0
55,56,678.0
55,57,2904.5
58,59,3735.5
58,60,1444.0
61,62,3296.0
61,63,3678.0
64,65,621.5
64,62,1015.0
14,11,7177.0
14,25,11834.5
62,61,3296.0
62,7,2608.0
66,34,2951.0
66,15,924.0
67,68,1847.5
67,40,1352.5
69,32,4218.5
69,70,1808.0
71,72,620.5
71,3,3248.0
73,13,8370.0
73,74,1035.0
32,31,3171.5
32,37,9974.5
63,61,3678.0
63,75,4224.5
76,77,6350.5
76,40,5032.5
5,4,4339.0
5,78,2402.0
12,11,4495.5
12,14,4894.5
23,21,7640.0
23,79,2917.5
80,81,862.5
80,82,121.0
75,83,3267.5
75,84,3614.5
85,86,57.0
85,87,44.0
88,89,2227.0
88,90,2319.5
91,92,671.0
91,93,330.0
25,3,10782.5
25,14,11834.5
94,59,6267.0
94,95,4202.0
96,97,7182.0
96,98,5043.5
99,100,531.0
99,101,34.0
9,8,9065.0
9,11,3699.5
102,81,1780.0
102,103,1361.5
103,102,1361.5
103,104,323.0
3,25,10782.5
3,11,6125.0
105,51,2401.5
105,52,2994.5
51,50,3528.0
51,105,2401.5
106,7,4006.0
106,107,4059.0
108,109,2059.0
108,110,2059.0
52,50,4121.0
52,105,2994.5
111,61,3096.5
111,62,950.5
36,112,1331.5
36,34,3116.5
7,2,5652.5
7,62,2608.0
79,23,2917.5
79,34,3251.0
113,34,3010.5
113,114,1754.5
38,37,8794.5
38,39,1230.5
115,116,538.0
115,117,509.0
77,76,6350.5
77,40,1928.0
59,94,6267.0
59,118,2474.0
118,59,2474.0
118,119,145.0
120,98,2921.5
120,46,2847.0
121,95,1235.0
121,97,4864.0
97,96,7182.0
97,121,4864.0
54,3,7028.0
54,53,6960.0
122,123,417.0
122,124,417.0
81,80,862.5
81,102,1780.0
125,126,2182.5
125,127,1124.0
22,21,6082.0
22,128,671.5
17,16,1163.5
17,129,676.0
130,131,341.5
130,132,68.5
107,106,4059.0
107,133,2175.0
134,116,1651.5
134,117,1622.5
135,85,363.0
135,57,2780.0
137,138,689.0
137,87,212.5
139,113,1031.0
139,129,683.0
95,97,4169.0
95,94,4202.0
138,140,871.0
138,137,689.0
142,59,3241.5
142,143,907.5
18,16,935.0
18,144,326.5
57,135,2780.0
57,55,2904.5
145,56,713.0
145,146,691.5
112,36,1331.5
112,35,1325.5
147,148,1547.5
147,149,1510.5
114,77,2854.0
114,113,1754.5
150,151,866.5
150,152,2193.0
152,36,2104.0
152,150,2193.0
153,84,688.5
153,154,371.0
155,3,3152.5
155,100,913.5
156,115,931.5
156,117,1286.5
43,4,2559.5
43,41,1246.5
92,91,671.0
92,135,667.0
157,52,2196.5
157,50,2503.5
158,113,1722.0
158,159,1198.5
160,86,283.5
160,81,1005.0
116,134,1651.5
116,115,538.0
129,17,676.0
129,139,683.0
68,67,1847.5
68,161,1315.5
162,163,703.0
162,85,740.0
117,115,509.0
117,134,1622.5
164,125,1494.5
164,165,1125.5
6,4,2941.5
6,5,3297.5
100,99,531.0
100,155,913.5
167,129,523.0
167,16,1010.5
168,169,16.0
168,170,33.5
140,138,871.0
140,86,407.5
131,130,341.5
131,171,273.0
127,125,1124.0
127,172,948.0
45,44,276.0
45,40,434.5
173,174,405.5
173,143,175.5
165,164,1125.5
165,175,276.5
176,160,333.0
176,177,90.0
178,77,2431.5
178,155,1225.0
161,68,1315.5
161,67,1563.0
179,157,579.5
179,52,2197.0
126,84,1886.0
126,180,1644.0
181,182,526.5
181,183,543.5
184,7,2092.5
184,185,59.5
186,102,1174.0
186,187,185.0
42,41,906.0
42,94,4159.5
188,189,280.5
188,145,762.0
190,50,2323.0
190,52,2016.0
98,96,5043.5
98,120,2921.5
191,192,342.0
191,175,318.5
89,88,2227.0
89,90,202.5
193,194,1244.0
193,195,682.5
196,41,885.0
196,42,434.0
197,198,395.0
197,34,2882.0
65,64,621.5
65,169,181.5
154,153,371.0
154,84,376.5
170,169,17.5
170,168,33.5
56,55,678.0
56,145,713.0
174,173,405.5
174,179,521.0
48,46,2148.0
48,164,1313.0
199,7,2171.0
199,200,138.0
201,15,712.5
201,202,252.5
90,88,2319.5
90,89,202.5
203,204,112.5
203,109,40.5
205,206,216.5
205,207,461.5
208,117,592.0
208,115,237.0
84,153,688.5
84,126,1886.0
15,19,1656.0
15,209,460.0
210,211,390.0
210,212,242.5
213,214,294.0
213,171,64.0
215,153,390.5
215,84,396.0
40,77,1928.0
40,67,1352.5
216,53,2983.5
216,56,543.0
217,218,69.5
217,219,68.5
220,21,5955.0
220,221,468.5
222,193,779.5
222,21,5583.5
146,145,691.5
146,87,213.0
187,186,185.0
187,75,3317.0
223,224,298.5
223,31,1059.5
225,226,187.0
225,98,1947.5
227,228,140.5
227,229,135.5
214,213,294.0
214,230,230.0
231,75,3410.5
231,232,143.0
233,24,900.5
233,213,106.0
194,193,1244.0
194,234,561.5
235,236,139.5
235,237,145.0
238,15,484.5
238,239,24.5
204,203,112.5
204,109,72.0
240,7,2122.0
240,107,2175.0
128,21,5562.5
128,241,76.0
206,205,216.5
206,234,129.5
242,121,1039.0
242,243,74.0
207,244,779.5
207,205,461.5
245,27,5299.5
245,15,734.5
246,247,32.0
246,242,106.0
211,210,390.0
211,212,147.5
248,174,387.5
248,190,265.5
249,120,1318.5
249,225,344.5
250,79,839.5
250,251,75.5
177,176,90.0
177,75,3288.0
252,116,1012.5
252,134,1742.0
72,71,620.5
72,32,2519.0
253,254,338.5
253,7,2371.5
133,107,2175.0
133,5,2436.5
144,18,326.5
144,16,717.5
151,150,866.5
151,21,5634.5
244,207,779.5
244,241,405.0
255,106,2016.5
255,107,2129.5
258,131,289.0
258,3,2752.0
148,147,1547.5
148,73,1161.5
259,260,11.0
259,261,11.0
180,126,1644.0
180,262,105.0
263,56,430.5
263,264,203.0
218,217,69.5
218,62,576.0
267,268,16.0
267,269,16.0
86,85,57.0
86,160,283.5
270,3,2814.5
270,1,4391.5
183,181,543.5
183,182,17.0
271,222,224.5
271,21,5614.0
273,15,522.0
273,274,62.0
