Id,Label,Tipo
RJ 101,RJ 101,Rodovia
A_RJ 101,8626,Acidentes
G_RJ 101,807,Graves
F_RJ 101,7077,Feridos
L_RJ 101,742,Leves
GO 153,GO 153,Rodovia
A_GO 153,3983,Acidentes
G_GO 153,428,Graves
F_GO 153,3050,Feridos
L_GO 153,505,Leves
ES 101,ES 101,Rodovia
A_ES 101,7239,Acidentes
G_ES 101,1013,Graves
F_ES 101,5833,Feridos
L_ES 101,390,Leves
SC 101,SC 101,Rodovia
A_SC 101,17509,Acidentes
G_SC 101,1115,Graves
F_SC 101,14759,Feridos
L_SC 101,1635,Leves
RS 116,RS 116,Rodovia
A_RS 116,6778,Acidentes
G_RS 116,800,Graves
F_RS 116,5155,Feridos
L_RS 116,823,Leves
PR 277,PR 277,Rodovia
A_PR 277,14672,Acidentes
G_PR 277,2385,Graves
F_PR 277,10621,Feridos
L_PR 277,1666,Leves
MS 262,MS 262,Rodovia
A_MS 262,2392,Acidentes
G_MS 262,255,Graves
F_MS 262,1820,Feridos
L_MS 262,317,Leves
RO 364,RO 364,Rodovia
A_RO 364,10973,Acidentes
G_RO 364,1654,Graves
F_RO 364,8422,Feridos
L_RO 364,897,Leves
PR 376,PR 376,Rodovia
A_PR 376,10050,Acidentes
G_PR 376,1413,Graves
F_PR 376,7734,Feridos
L_PR 376,903,Leves
PR 369,PR 369,Rodovia
A_PR 369,4596,Acidentes
G_PR 369,598,Graves
F_PR 369,3629,Feridos
L_PR 369,369,Leves
GO 60,GO 60,Rodovia
A_GO 60,4974,Acidentes
G_GO 60,585,Graves
F_GO 60,3826,Feridos
L_GO 60,563,Leves
MG 381,MG 381,Rodovia
A_MG 381,15128,Acidentes
G_MG 381,2267,Graves
F_MG 381,11951,Feridos
L_MG 381,910,Leves
PI 316,PI 316,Rodovia
A_PI 316,3372,Acidentes
G_PI 316,850,Graves
F_PI 316,2208,Feridos
L_PI 316,314,Leves
PI 343,PI 343,Rodovia
A_PI 343,3934,Acidentes
G_PI 343,486,Graves
F_PI 343,3052,Feridos
L_PI 343,396,Leves
RS 386,RS 386,Rodovia
A_RS 386,4428,Acidentes
G_RS 386,591,Graves
F_RS 386,3451,Feridos
L_RS 386,386,Leves
BA 116,BA 116,Rodovia
A_BA 116,5336,Acidentes
G_BA 116,1246,Graves
F_BA 116,3555,Feridos
L_BA 116,535,Leves
SC 280,SC 280,Rodovia
A_SC 280,2801,Acidentes
