Rodovia,Acidentes,Graves,Feridos,Leves
RJ 101,8626,807,7077,742
GO 153,3983,428,3050,505
ES 101,7239,1013,5833,390
SC 101,17509,1115,14759,1635
RS 116,6778,800,5155,823
PR 277,14672,2385,10621,1666
RS 158,1326,152,1005,169
MS 262,2392,255,1820,317
RO 364,10973,1654,8422,897
SP 101,1717,52,1597,68
PR 376,10050,1413,7734,903
PR 369,4596,598,3629,369
ES 262,1522,184,1177,161
GO 60,4974,585,3826,563
MG 381,15128,2267,11951,910
DF 60,1247,60,1028,159
PR 153,1357,206,925,226
GO 80,293,80,146,67
PI 316,3372,850,2208,314
PI 343,3934,486,3052,396
RS 386,4428,591,3451,386
BA 116,5336,1246,3555,535
PE 428,901,28,806,67
SC 280,2801,488,2120,193
PE 101,5442,406,4452,584
SE 235,880,163,633,84
PR 116,7576,644,6081,851
SE 101,1150,123,840,187
MS 60,928,69,785,74
DF 20,2095,9,1585,501
MG 365,3616,900,2492,224
RJ 356,1024,103,887,34
PR 373,2068,442,1482,144
MG 262,4821,706,3699,416
PB 101,1914,151,1423,340
MG 40,9455,1469,7288,698
TO 153,4695,1003,3126,566
SC 116,2213,784,1200,229
MT 364,4307,982,2788,537
CE 304,242,12,211,19
PB 230,6535,620,5218,697
PE 110,74,25,30,19
MG 251,4344,1754,2471,119
AL 316,660,92,490,78
SP 116,16093,1374,13441,1278
SC 282,7864,1433,5827,604
MT 163,6566,973,4809,784
ES 393,68,2,66,0
RS 101,621,107,445,69
RN 101,2077,68,1800,209
RN 406,646,75,539,32
RJ 116,5472,282,4623,567
RS 392,2175,472,1461,242
RS 285,2628,538,1820,270
BA 324,3946,490,3088,368
CE 116,4118,775,2953,390
RS 290,3814,680,2635,499
AL 101,751,75,589,87
GO 70,1259,69,1044,146
BA 101,4066,994,2766,306
GO 364,1528,290,1050,188
GO 50,1047,426,498,123
SP 381,2461,107,1928,426
PI 222,154,24,128,2
RJ 40,3246,267,2723,256
SC 470,4670,632,3732,306
SC 480,278,0,201,77
PA 316,2322,691,1407,224
PR 163,1930,274,1405,251
MS 163,7798,1689,5328,781
MG 116,8584,3128,5184,272
MG 267,834,290,500,44
RN 304,1483,176,1192,115
PA 10,1287,354,637,296
AC 364,1191,126,957,108
MS 158,1001,229,634,138
MG 146,137,9,124,4
BA 242,4172,846,2892,434
MA 135,2381,567,1558,256
PE 408,652,67,529,56
MS NA,41,0,0,41
AL 104,411,40,328,43
GO 452,1015,238,660,117
SC 163,540,7,461,72
PE 104,967,253,604,110
RJ NA,100,0,56,44
RS 470,1813,77,1503,233
PR 158,544,142,332,70
PE 232,4908,731,3488,689
PE 423,971,166,637,168
DF 70,1404,12,1258,134
PR 476,2840,437,2023,380
GO 40,2462,331,1879,252
MT 174,1437,302,1019,116
MT 70,2949,194,2329,426
MA 230,683,255,404,24
RJ 493,833,45,716,72
CE 222,1709,249,1277,183
MG 153,1136,235,742,159
PE 316,682,213,408,61
RS 287,579,148,359,72
MG 50,2397,167,2027,203
RN 110,527,63,420,44
PI 135,922,109,668,145
GO 158,351,15,209,127
GO 20,1600,509,945,146
BA 110,1406,353,970,83
MA 222,864,282,538,44
MA 10,1702,298,1279,125
SP 153,1900,207,1541,152
RJ 393,994,73,810,111
RS NA,101,0,45,56
MT 158,695,162,363,170
PI 235,32,12,20,0
PB 104,775,328,396,51
MG 354,546,39,456,51
TO 10,961,91,745,125
DF 80,259,106,148,5
RS 468,349,58,279,12
MA 226,549,219,279,51
RN 427,139,0,128,11
RJ 465,1617,49,1511,57
BA 20,1031,835,174,22
RS 293,580,270,253,57
PA 230,3078,1146,1526,406
CE 20,1053,285,708,60
BA 418,119,46,66,7
RN 405,271,32,228,11
SC 153,455,30,402,23
PE 424,553,326,216,11
RS 448,218,13,179,26
PA 163,3521,1766,1595,160
RN 226,633,92,492,49
GO 251,110,24,80,6
RO 319,1365,313,892,160
RS 153,413,45,316,52
GO 414,790,61,650,79
BA 235,363,106,225,32
CE 230,59,24,35,0
TO 235,35,17,18,0
PE 407,455,22,376,57
RS 472,462,107,313,42
MA 316,924,261,566,97
BA 415,276,35,236,5
MS 463,505,182,295,28
DF 251,295,24,250,21
PB 116,81,36,37,8
RR 401,174,72,86,16
PA 222,320,70,234,16
PI 230,694,142,460,92
MS 267,920,272,570,78
AP 210,485,5,393,87
SP 459,128,0,122,6
TO 230,98,0,92,6
DF 40,610,22,551,37
BA 407,631,136,422,73
BA 349,137,5,132,0
RO 435,937,391,466,80
RO 429,194,73,117,4
AL 423,412,169,238,5
PB 405,99,10,89,0
ES 259,597,196,360,41
PA 155,374,63,219,92
BA 330,271,33,214,24
MG 459,460,25,407,28
PB 361,286,85,189,12
SP 488,84,0,64,20
AM 319,1123,232,824,67
MA 402,195,95,64,36
MS 436,49,0,42,7
PE 116,144,34,110,0
BA 410,178,68,105,5
AC 317,152,27,103,22
RR 432,259,118,106,35
PR 467,148,40,107,1
RR 174,749,140,567,42
MS 376,549,105,426,18
PR 469,64,0,56,8
AP 156,295,84,166,45
RS 471,313,104,171,38
PA 308,315,96,196,23
MG 364,151,4,143,4
PB 427,41,2,39,0
BA 135,1103,246,828,29
MG 356,217,0,204,13
BA 367,677,47,597,33
TO 242,178,103,69,6
SC 158,109,9,93,7
RO 174,296,0,284,12
AM 174,810,112,594,104
BA 420,87,0,87,0
TO NA,16,0,16,0
AL NA,3,0,0,3
RJ 354,32,0,32,0
PR 272,255,40,200,15
ES 447,22,0,22,0
AM 230,210,40,135,35
PI 407,406,166,219,21
SC NA,59,0,54,5
SE 349,2,0,2,0
RO NA,44,0,24,20
CE 122,32,8,24,0
PB 110,40,6,34,0
RJ 495,157,0,153,4
PI 20,34,0,32,2
RO 421,255,91,164,0
PE NA,29,0,0,29
MS 359,124,17,104,3
PB NA,40,0,15,25
PI NA,153,0,30,123
PI 402,84,0,72,12
RO 425,317,78,233,6
GO NA,15,0,3,12
MA NA,38,0,36,2
MT NA,30,0,3,27
MG NA,29,0,24,5
SC 285,12,0,12,0
BA 30,15,9,6,0
PA 153,109,87,22,0
PR 280,87,14,61,12
SP NA,37,0,21,16
CE 402,95,30,64,1
CE NA,40,0,36,4
DF NA,20,0,0,20
PB 412,87,36,47,4
CE 226,51,33,16,2
MS 419,47,0,44,3
TO 226,935,174,756,5
AM NA,36,0,24,12
SP 262,74,0,74,0
PB 434,9,9,0,0
SP 158,6,0,6,0
PR 487,181,10,147,24
RN NA,12,0,2,10
RJ 485,13,0,13,0
AL 416,1,1,0,0
